z,nObs,x,y,bio1
1982,1,95.2083333333334,75.625,-15.594868296051
1987,1,97.7083333333334,75.625,-15.6814416488647
1993,1,101.458333333333,75.625,-15.4115566551208
2171,1,101.041666666667,75.2083333333333,-15.4313949783325
2339,1,103.125,74.7916666666667,-15.28582498703
2478,1,103.125,74.375,-14.9935049922943
3075,1,82.2916666666667,72.7083333333333,-12.3973883068085
3588,1,102.708333333333,71.875,-13.1750233436584
4355,1,85.2083333333334,70.625,-10.9902249996185
4649,46,27.7083333333333,70.2083333333333,-1.30497666236162
4650,4,28.125,70.2083333333333,-0.993621666383743
4686,1,86.0416666666667,70.2083333333333,-10.5891549953461
5020,7,23.9583333333333,69.7916666666667,-2.38909000258446
5021,2,24.375,69.7916666666667,-2.64001167082787
5022,3,24.7916666666667,69.7916666666667,-2.17087666438576
5023,5,25.2083333333333,69.7916666666667,-1.58683832961172
5026,16,26.4583333333333,69.7916666666667,-2.05113167462349
5027,33,26.875,69.7916666666667,-1.83444833199978
5028,7,27.2916666666667,69.7916666666667,-1.96286501059532
5029,19,27.7083333333333,69.7916666666667,-1.83899333331585
5030,4,28.125,69.7916666666667,-1.42090166921616
5032,3,28.9583333333333,69.7916666666667,-0.52850499622412
5422,5,21.4583333333333,69.375,-1.92873333745276
5424,1,22.2916666666667,69.375,-2.17185666680336
5425,1,22.7083333333333,69.375,-2.11126667003632
5426,1,23.125,69.375,-2.4308083340168
5429,1,24.375,69.375,-2.79368000850678
5432,6,25.625,69.375,-2.39276500530243
5433,10,26.0416666666667,69.375,-2.30495998587608
5434,6,26.4583333333333,69.375,-2.09759666657448
5436,1,27.2916666666667,69.375,-1.66988833088875
5437,14,27.7083333333333,69.375,-1.5079916629076
5439,1,28.5416666666667,69.375,-0.993811674726009
5440,5,28.9583333333333,69.375,-0.626499999842048
5441,5,29.375,69.375,-0.450010002332926
5442,9,29.7916666666667,69.375,-0.454874999054521
5443,4,30.2083333333333,69.375,-0.657419998513162
5444,1,30.625,69.375,-0.955784997904301
5445,7,31.0416666666667,69.375,-0.599236666174543
5487,3,86.0416666666667,69.375,-9.80044332313538
5493,1,88.5416666666667,69.375,-10.0298366657257
5616,1,139.791666666667,69.375,-15.1422033332825
5873,2,18.5416666666667,68.9583333333333,-0.11387833040903
5874,7,18.9583333333333,68.9583333333333,-0.600169998683284
5875,12,19.375,68.9583333333333,-0.280273333337841
5876,3,19.7916666666667,68.9583333333333,-0.539921665730203
5877,11,20.2083333333333,68.9583333333333,-1.36903166416939
5878,9,20.625,68.9583333333333,-2.18270333271027
5879,22,21.0416666666667,68.9583333333333,-2.79041166296005
5880,3,21.4583333333333,68.9583333333333,-2.75178333444595
5883,2,22.7083333333333,68.9583333333333,-2.1240733338356
5884,7,23.125,68.9583333333333,-2.33152167592049
5885,2,23.5416666666667,68.9583333333333,-2.92825000448227
5888,2,24.7916666666667,68.9583333333333,-2.74472498960495
5890,5,25.625,68.9583333333333,-2.27806499047279
5892,1,26.4583333333333,68.9583333333333,-1.8003383284092
5893,3,26.875,68.9583333333333,-1.3920833306551
5894,12,27.2916666666667,68.9583333333333,-0.958745000362396
5895,8,27.7083333333333,68.9583333333333,-0.754563345265389
5898,17,28.9583333333333,68.9583333333333,-0.928530001151562
5899,3,29.375,68.9583333333333,-0.807838334774971
6089,1,145.208333333333,68.9583333333333,-12.8780000247955
6091,2,146.041666666667,68.9583333333333,-12.8460399688721
6350,7,18.125,68.5416666666667,-1.54242833503839
6351,22,18.5416666666667,68.5416666666667,-2.00635000002384
6352,17,18.9583333333333,68.5416666666667,-1.83946000344753
6355,1,20.2083333333333,68.5416666666667,-1.87070833113194
6357,45,21.0416666666667,68.5416666666667,-2.81923000154495
6358,3,21.4583333333333,68.5416666666667,-2.76179333429337
6359,1,21.875,68.5416666666667,-2.45402500114441
6360,9,22.2916666666667,68.5416666666667,-2.09839000883102
6361,2,22.7083333333333,68.5416666666667,-2.12641165032387
