binomial,Full.name,redlistCategory,LL
Sympetrum_maculatum,"Sympetrum maculatum Oguma, 1922",Endangered,Lentic
Sympetrum_meridionale,"Sympetrum meridionale (Selys, 1841)",Least Concern,Lentic
Sympetrum_nigrifemur,"Sympetrum nigrifemur (Selys, 1884)",Least Concern,Lentic
Sympetrum_parvulum,"Sympetrum parvulum (Bartenev, 1912)",Least Concern,Lentic
Sympetrum_pedemontanum,"Sympetrum pedemontanum (Müller in Allioni, 1766)",Least Concern,Lentic
Sympetrum_risi,NA,NA,Lentic
Sympetrum_sanguineum,"Sympetrum sanguineum (Müller, 1764)",Least Concern,Lentic
Sympetrum_sinaiticum,"Sympetrum sinaiticum Dumont, 1977",Least Concern,Lentic
Sympetrum_speciosum,NA,NA,Lentic
Sympetrum_striolatum,"Sympetrum striolatum (Charpentier, 1840)",Least Concern,Lentic
Sympetrum_tibiale,"Sympetrum tibiale (Ris, 1897)",Least Concern,Lentic
Sympetrum_uniforme,"Sympetrum uniforme (Selys, 1883)",Least Concern,Lentic
Sympetrum_vulgatum,"Sympetrum vulgatum (Linnaeus, 1758)",Least Concern,Lentic
Tanypteryx_pryeri,NA,NA,Lotic
Tholymis_tillarga,"Tholymis tillarga (Fabricius, 1798)",Least Concern,Lentic
Tramea_basilaris,"Tramea basilaris (Palisot de Beauvois, 1817)",Least Concern,Lentic
Tramea_limbata,"Tramea limbata (Desjardins, 1835)",Least Concern,Lentic
Tramea_loewii,"Tramea loewii Kaup in Brauer, 1866",Least Concern,Lentic
Tramea_transmarina,"Tramea transmarina Brauer, 1867",Least Concern,Lentic
Tramea_virginia,"Tramea virginia (Rambur, 1842)",Least Concern,Lentic
Trigomphus_citimus,"Trigomphus citimus (Needham, 1931)",Least Concern,Lentic
Trigomphus_interruptus,NA,NA,lentic
Trigomphus_melampus,NA,NA,lentic
Trigomphus_nigripes,"Trigomphus nigripes (Selys, 1887)",Least Concern,Lentic
Trigomphus_ogumai,NA,NA,lentic
Trithemis_annulata,"Trithemis annulata (Palisot de Beauvois, 1807)",Least Concern,Lentic
Trithemis_arteriosa,"Trithemis arteriosa (Burmeister, 1839)",Least Concern,Lentic
Trithemis_aurora,"Trithemis aurora (Burmeister, 1839)",Least Concern,Lentic
Trithemis_dejouxi,"Trithemis dejouxi Pinhey, 1978",Least Concern,Lotic
Trithemis_festiva,"Trithemis festiva (Rambur, 1842)",Least Concern,Lentic
Trithemis_furva,"Trithemis furva Karsch, 1899",Least Concern,Lotic
Trithemis_kirbyi,"Trithemis kirbyi Selys, 1891",Least Concern,Lentic
Trithemis_pallidinervis,"Trithemis pallidinervis (Kirby, 1889)",Least Concern,Lentic
Urothemis_assignata,"Urothemis assignata (Selys, 1872)",Least Concern,Lentic
Urothemis_edwardsii,"Urothemis edwardsii (Selys in Lucas, 1849)",Least Concern,Lentic
Urothemis_thomasi,"Urothemis thomasi Longfield, 1932",Endangered,Lentic
Zygonyx_torridus,"Zygonyx torridus (Kirby, 1889)",Least Concern,Lotic
Zyxomma_obtusum,NA,NA,Lentic
Zyxomma_petiolatum,"Zyxomma petiolatum Rambur, 1842",Least Concern,Lentic
Asiagomphus_yayeyamensis,"Asiagomphus yayeyamensis (Matsumura in Oguma, 1926)",Endangered,Lotic
Bayadera_ishigakiana,"Bayadera ishigakiana Asahina, 1964",Endangered,Lotic
Coeliccia_flavicauda,"Coeliccia flavicauda Ris, 1912",Least Concern,Lotic
Euphaea_yayeyamana,NA,NA,Lotic
Leptogomphus_yayeyamensis,"Leptogomphus yayeyamensis Matsumura in Oguma, 1926",Least Concern,Lotic
Rhipidolestes_aculeatus,NA,NA,Lotic
Stylogomphus_shirozui,NA,NA,Lotic
